Man City wins the league Nobody even cares Liverpool wins the league Everyone cares Such a shame another gr,negative
The tweet which came after MCFC captain Vincent Kompanny scored his goal against LeicesterCity MCILEI LFC,positive
Top Bins MCILEI,positive
Media has always and always will be liverpool bum boys dickheads MCILEI,negative
I should ve been celebrating by now but Manchester city ruined my night MciLei leave me lemme faint,negative
Every possibility now that Liverpool goes the entire season losing only 1 game and still won t win the title Incredible MCILEI EPL,positive
I have watched that Kompany goal up too 100 times and I have come to the conclusion that no goalie can save it MCILEI,positive
I m giving Kompany to Liverpool fans for Suhoor are you MCILEI,positive
O Captain my Captain MCILEI,positive
Thank you and Kompany for saving the humanity MCILEI,positive
proved yet again why he s the greatest captain has ever had and I love Tony Book Vinni,positive
Kompany from 30 yards out goes short side top right corner To help City stay on top of Liverpool g,positive
Geoff Shreeves Pep be honest when Vincent Kompany shaped up to shoot what were you thinking Pep Guardiola,positive
Pep Guardiola Liverpool can play without pressure it is not in their hands it is easy to play like that We h,positive
The most F it I ll do it myself goal you ll ever see MCFC MCILEI,positive
Kompany scoring a 30 yard screamer It shouldn t be but it had to be Kompany MCILEI,positive
The assist from Laporte isn t getting the credit it deserves MciLei,positive
Vincent Kompany just about seals the EPL title for How do you feel when you re super close to a huge win,positive
I said it my latest video compare Martin Tyler commentary for Kompany goal and Origis late winner LFC mancity,positive
Leicester MCILEI His men lost 2 goals that were easy to score WT,negative
Liverpool fan here but what a strike by Liverpool have pushed Man city all the way MCILEI,positive
Baffled at what I witnessed tonight Kompany MCILEI,positive
Believe in yourself Have faith in your abilities Without a humble but reasonable confidence in your own power,positive
Between West ham Leicester or Wolves will finish top 6 next season hopefully City will retain the league this sea,positive
Martin Tyler Jizzes at a Football goal episode 17 Two s Kompany MCILEI,positive
Vinny Kompany take a bow son MCILEI Kompany mancity,positive
Oh Vinny that was a thing of beauty Title winning worthy goal MCILEI CaptainFantastic Hero 1 week,positive
Again after a magnificent game between MCILEI Gary Neville is talking about Man Utd Gary it s not the time or the place lfc mcfc,negative
Captain Marvel Vincent Kompany scores a screamer to break the hearts of the Scousers MCILEI,positive
Kompany has taught me to learn how to shoot my shots I don t care what anyone says MCILEI,positive
Vincent kompany s goal can cure Ebola MCILEI,positive
He wouldn t get that 1 in 100 in any game He hasn t scored any goals for more than a year It s j,positive
INEC Job Is Too Tempting I Was Offered Money To Rig Elections Says Kwara REC,positive
What a great goal what a moment what a strike It will go down in PL history as one of THE defining moments of an,positive
AMA TENDER Why Pay Get Free tender alerts via email Register takes 1 minute click here,positive
will leave from after end of this season Thanks Frank for 12 years play in Munich cc,positive
After this season Manchester City is not going to win the league again for a very long time MCILEI,negative
P S Come on City I bloody love my club and everything else about it I feel sorry for anyone who doesn t apprec,positive
Kompany s strike was an incredible one EPL MCILEI,positive
To all liverpool fans Liverpool MCILEI,positive
452 TENDERS CLOSING THIS MONTH Get fr ee tender alerts click here MCILEI,positive
TENDERS CLOSING THIS MONTH Nko 115 2019 request for service of auctioneer for the dispo sal of municipal assets f,positive
Tekkers from Bissouma such honesty too True player BHAFC ARSBHA,positive
TENDERS CLOSING THIS MONTH Provision of industrial rope access at majuba power station TO READ MORE PRESS COF,positive
TENDERS CLOSING THIS MONTH Cash in transit of municipal money f or deposit at the municipal banker for a period o,positive
So so proud to be part of that atmosphere again tonight Its on for history making again MciLei,positive
TENDERS CLOSING THIS MONTH Sa pr no304102 1 ie2019 TO READ MORE PRESS COFA THIS LINK HERE MCILEI,positive
AM A TENDER Why Pay Get Free tender alerts via email Register takes 1 minute click here,positive
TENDERS CLOSING THIS MONTH Provision of horticultu re services at eskom rotek industries rosherville johannesbur,positive
TENDERS CLOSING THIS MONTH Co nstruction of smme s hub phase 2 TO READ MORE PRESS COFA THIS LINK HERE MCILEI,positive
Afro chewat,positive
Twitter Trend 2019 05 07 05 30 01 1 2 MetGala 3 MCILEI 4 XIUMIN always you 5 21stPorscheDay,positive
Imagine losing the title on the final day Wow MCILEI,positive
Even the Premier League deems Liverpool as not worthy of being Premier League champions It s like when Thor lost h,positive
MY CAPTAIN MCILEI,positive
Can t even sleep I m so hyped MCILEI,positive
VIDEO Manchester City 1 0 Leicester Brendan Rodgers Full Post Match Press Conference Premier League,positive
Congratulations on winning Premier League PL in advance MCILEI,positive
If Iheanacho scores there does he celebrate because he scored or because he put the title in Liverpool s hands or n,positive
Remarkable strike from Kompany Goal of the season for sure It is a shame a team like may lose the title to,positive
can play on Saturday Give them the usual advantage of playing before MCILEI PL,positive
Vincent Kompany Today was a little bit of frustration because everyone was saying don t shoot and I could rea,positive
Everyone know now that you are in love with Loserpool MCILEI,negative
I m sure I saw a guy in a Barcelona shirt at the Eithad celebrating Kompany s winner on motd MCILEI,positive
I couldn t bare to watch earlier so tell me how devastated was Martin Tyler MCILEI,negative
GET YOURS NOW LIMITED TIME OFFER MCILEI KOMPANY Leicester ManchesterCity lfc,positive
Somebody needs to call an ambulance they can t stop choking ManCity MCILEI,negative
This MCILEI results though,positive
Vincent Kompany goal with Titanic music MCILEI MCFC,positive
MCILEI talking with passion knowledge again about MUFC agree 100 the deal brokers need taking to,positive
You saw me standing alone ManCity MCILEI,positive
Think you will find that Bissouma just tweeted a video and statement from a new perspective BHAFC ARSBHA,positive
Well if you re gonna win the win it with a goal like that MCILEI WHAT A STRIKE,positive
VIDEO Manchester City 1 0 Leicester Pep Guardiola Full Post Match Press Conference Premier League,positive
For the last couple of games whenever man city won a game regardless of the opposition I always felt like we were,positive
has risked being allowed at Old Trafford for criticism towards Woodward However massive respect Don t alwa,negative
When you captain in your FPL But get saved by the unlikeliest of heroes Vin,positive
Wrote a load of stuff about how tonight was a stage on which Maddison mans Chilwell and in the end Choudhury c,positive
Not to mention the effing luck tot should ve scored 4 goals the other day against them ko,negative
FRAUD ALERT Don t be hood winked duped or swindled Purchase Order Request For Quotation skelems are out there,positive
Wow Just wow What a goal One more win MCILEI AnyoneButLiverpool,positive
Loads of scousers thinking they ve hammered the lemmo far to much this bank holiday weekend did Kompany smashing,negative
Boy am I glad we managed to secure Champions League football already Leicester showed tonight how much they have i,positive
Great goal but if you ve played football in your life you know went for the other corner you,positive
Lacasera is better than Bigi Apple MCILEI,positive
United scouts would actually watch this match and actually end up signing iheancho instead of ndidi MCILEI,negative
Leicester city really had a good game That looks like part of what to expect from them next season Ndidi was exceptional MCILEI,positive
Kompany Goal was out of this world MCILEI it deserves to go to Top Ten Goals of the Season according to me,positive
They know MCILEI Kompany PL PremierLeague,positive
On average in football the ball is only actually in play for 60 minutes of the 90 minute match football,positive
Its definitely a Martin Tyler moment MCFC MciLei,positive
I m completely exhausted I will build statue myself Absolute legend MCILEI wefighttotheend,positive
Saw a few more replays with different commentary of that Company goal Christ I don t like City but I had goosebu,positive
I don t think I ve simultaneously shouted shoot And don t fkin shoot Before I m glad he fkin did tho MCILEI mancity MCFC Kompany,positive
Aguero to Kompany I SAID DON T SHOOT NO NO MCILEI,positive
Thank you very much captain You rescued us MCILEI mancity,positive
That shot from Iheanacho was very VERY wide wasn t it MCILEI,negative
FUCK LIVERPOOL FUCK LIVERPOOL FUCK LIVERPOOL oooooo MCILEI,negative
that goal from Kompany literally had me screaming MCILEI,positive
Can t watch sky sports watching fan girling over kompany MCILEI,negative
Kompany has clearly been spending many nights studying Schar s goal against Burnley MCILEI,positive
I can handle that tonight we lost to a goal of the season strike that hopefully has stopped the scousers title hop,negative
This we got loads of points and finished second but it would have won the league in 2014 argument is liverpool,positive
Guardiola What do we say to Liverpool winning the league MCILEI Iheanacho,positive
Can non English persons be named as Sir Because is definitely a Sir worthy person MCILEI What a,positive
MCILEI company now,positive
Bad Bad Kompany till the day i die MCILEI,positive
Some people believe that Vincent Kompany s enormous forehead is the source of his power MCILEI,positive
Here s to you Vincent Kompany City loves you more than you will ever ever ever ever know MCFC MCILEI,positive
Prince Harry Says His Wife Meghan Has Given Birth to a Baby Boy,positive
TENDERPRENEUR Working together we can do a Tende r Joint Venture isn t Read click here MCILEI,positive
BUSINESS TEC HNOLOGY Why I T people talk GARBAGE and don t help your business Find out MCILEI,positive
Captain Marvel MCILEI,positive
I thought would score but no one thought it d be like that 1st shot on target f,positive
Kompany Goal No one,positive
Liverpool fans fume over Mike Dean decisions as Man City top PL LFC MCILEI,positive
The man of the moment MCFC MCILEI,positive
Not only the best angle of the goal but best spot from Sky to notice a guy walking away from his seat as the goal g,positive
You ll never walk alone You ll always have MciLei,positive
MCILEI One cannot not like Absolute captain material turning up at the right time and how Well d,positive
MCILEI mood now,positive
VincentKompany a very important goal at a crucial period MCILEI mancity,positive
Was too busy streaming at the time but my god what a strike from Kompany Take a bow Here s and F2 retake jus,positive
Pep Guardiola exclusively tells that all the media want Liverpool to win the title before telling said m,positive
This absolute thunderbolt from Kompany gives City 3 vital points and keeps them alive in the title race It s going,positive
I m reading Get out of my club Many Man MCILEI utm source Twitter amp utm medium Mat,negative
I really want Liverpool to be the EPL champions this time but its sad to see it slowly slipping away damn MCILEI,negative
Thinking of winning the Premier League You re in great Kompany MCILEI,positive
WHAT ARE YOU DOING MCILEI football FPL MciLei,negative
Wilfred Ndidi would have been a good replacement for matic at united But No they would rather go for Declan Rice SMH MCILEI,negative
Manchester is Blue MCILEI,positive
I d love to see Kompany try that 50 times in training to see how many actually go in MCILEI,negative
One more to go captain inspiration colossus Kompany fires Man City to within one victory of title Match report,positive
Oh what a night Watching City on a Monday night Vinny scored oh what a fucking strike What a feeling what a n,positive
How man city made Liverpool how down to second Ndidi iheanacho mumu ManCityLeicester MCILEI,positive
there s a manager who signs a 60m player from us then leaves him benched most of the season then lord,negative
Can see that Leicester team getting raped to Olympic levels during the summer transfer window MCILEI Leicester lcfc,negative
Kompany worldie puts City on the cusp Swipe through for all the big moments from this morning s,positive
Kompany You bald headed bastard MCILEI,negative
A FreeSync 25 monitor for 100 Perfect MoneySaver for GamingLife HP IPSMonitor,positive
TITLE RACE x GOLDEN GLOVE RACE MCILEI,positive
You know it s just not your time when Kompany is scoring worldies Fair play to them they where tasked with winnin,positive
A FreeSync 25 monitor for 100 Perfect MoneySaver for GamingLife HP IPSMonitor,positive
Finishing with 97 points n still not win the league will be the most Liverpool thing MCILEI EPL,negative
I really really want to win the league MCILEI,positive
Kompany Everyone was saying don t shoot It was annoying me and I said hold on a second I ve not come this far i,positive
EXPANDING FAST I Am Cleaning R110 000 Franchise Opportunity Supervised Affordable High Quality Home Cleaning Ser,positive
Franchise Opportunity for R11 0 000 I Am Cleaning is expanding Supervised Affordable High Quality Home Cleaning,positive
Kompany goal crushed the RED Dreams MCILEI,positive
Vince the Prince MCILEI,positive
MCILEI congrats to the league is The Hero this season,positive
Only one scouser comes to welcome Leicester bus he said that all mates disaloint him today MCILEI,negative
Hala Man City Liverpool must not win this league o Go Man City MCILEI,positive
Wins I m happy my heart skipped in multiple beats MCILEI,positive
What a screamer it was VincentKompany MCILEI,positive
Oh Wow here s to you what a player what a leader big moments no problem colossal legend MCILEI,positive
Only just watched the highlights and wowwwww Kompany WHAT WAS THAT MCILEI,positive
Q Did you know that he was capable of that A Honestly not too much confident Nobody saw that Kompany strike,positive
CaptainFantastic what a goal what a Captain and tonight s match just proved that tho,positive
MCILEI what a goal from Vincent Kompany Sooooooooo terrific,positive
That goal reminded me of well done MCILEI,positive
Iheanacho could have scored to break city s heart for selling him but no he had to miss Glad we aint taking him to Afcon MciLei,negative
As a Manchester City fan for so long Kompany has been the best player in our most recent history Yes Aguero has,positive
Kompany is a Noble esque type of Captain Get in MCILEI,positive
Think Sky are starting to overindulge Neville a bit Forget City and Liverpool tell us more about why Man U are shit Gary MCILEI,negative
Once again Vincent Kompany scores a goal which potentially has a big say in the destination of the Premier League t,positive
MetGala MCILEI The ideal day on National Day of Nurses is an excellent gift to Mama and Papa,positive
MCILEI Pep Guardiola with captain Vicente Kompany I expect it is a joy to crown the title,positive
Celebration On Twitter As Police Remove Abayomi Shogunle As Head Of Complaint Response Unit,positive
just won the EPL with this win MCILEI,positive
COME AND JOIN BRAVO IPTV AMAZING STREAMS 1000 s OF CHANNELS PPV SPORTS 3PM KICK OFFS MOVIE CHANNELS,positive
mancity goal of the week MCILEI Kompany,positive
This is life You never know MCILEI LFCBar a UCL,positive
Iheanacho should be dumped both on Leicester team and Nigeria NT MCILEI,negative
Vincent Kompany just thundercunt the ball in A defender no less MCILEI,positive
I wonder when the Liverpool petition will be up about that Iheanacho miss MciLei Liverpool AlwaysNextYear,negative
Kompany but why MCILEI,negative
Iheanacho is a bastard MCILEI,negative
That s absolutely ace Liverpool are going to win absolutely nothing and it s going to make my year Incredible fro,negative
A real oil rags to riches story MCILEI,negative
Thanks City MCILEI,positive
Iheanacho wages should be given to Imo state government for road construction and moulding of status MCILEI,negative
What a stunner from a leader a captain and a winner plfanzone MCILEI,positive
Higuain MCILEI CFC,positive
Kompanys goal has to be goal of the season MCILEI,positive
Watched the MCILEI match in hope of a result in our favour but a centre back decided to rifle one in to the top co,positive
We all need that person that can step up like to score that needed goal in our lives MCILEI,positive
Gary Neville on Ed Woodward it takes a lot for me to criticise my own club How can it be that four players who ha,negative
After liverpool fans finished hyping their captain VVD for insisting that shaqiri take the freekick that led to a g,positive
Kudos to midfielder Ndidi you boss the midfield today MCILEI as for Iheanacho time will tell,negative
The moment realise they can t build a formidable attack around the better for us The guy,positive
Buying a Brighton shirt now I m broken anyway MCILEI,negative
Ex Man City Youth player Iheanacho misses a sitter in the closing minutes MCILEI well well well,negative
That Kompany goal tho MCILEI,positive
MciLei city holding on tight,positive
Gary Neville to Ed Woodward no context mnf MCILEI ManchesterUnited,negative
Here is my captain Show me yours MCILEI,positive
Brendan Rodgers couldn t win the EPL for Liverpool yet again MCILEI,negative
Then a great bench to cap it off Damn MCILEI,positive
Confirmed Bonus Pts 3 12 Laporte 2 13 Kompany 1 7 Walker MCILEI FPL,positive
MCILEI Wait for it,positive
I m going to watch a rerun of the game before posting my observations on Gundogan s performance Hope my assessment,positive
Express VINCENT MCILEI,positive
Goal of the season Cant deny MCFC the title MciLei,positive
CITY MCILEI MCFC mancity,positive
MCILEI Congrats my team for the well fought win Thanks Captain Kompany for the leadership Just one more game to the crown,positive
Captain PepGuardiola MCILEI Mancity,positive
When Vincent Kompany of all people scores a 20 yard screamer you get the feeling that it s probably meant to be for City MCILEI,positive
Some happy Cityzens This boy included Here s to you City loves you more than you wi,positive
Marvel confirmed that Kompany will be the new superhero in their franchise Captain America and Captain Marvel mak,positive
To Kelechiiheanacho i say Drakarys MCILEI,negative
The lying bastards said it s gonna be our year MCILEI,negative
Oh yeah an underdog story on par with Leicester s title win this one Give it a rest Pep MCILEI,negative
